,main_image,1_image,1_image_score,2_image,2_image_score,3_image,3_image_score
1156,image_1201,image_0291,1321,image_0845,1793,image_1325,1919
1157,image_0984,image_1000,1594,image_1115,1648,image_1196,1694
1158,image_1312,image_0277,2324,image_0095,2375,image_1273,2383
1159,image_1205,image_1242,142,image_1235,802,image_0851,1138
1160,image_0249,image_0250,1179,image_0581,1536,image_0442,1678
1161,image_0938,image_0598,862,image_1006,921,image_0845,1106
1162,image_0012,image_1166,1729,image_0967,1810,image_0845,1984
1163,image_0638,image_0858,636,image_0111,784,image_0171,796
1164,image_0892,image_0944,680,image_0363,920,image_0457,922
1165,image_1123,image_1177,0,image_1267,1748,image_0247,1813
1166,image_1164,image_1134,283,image_0822,373,image_1303,742
1167,image_0844,image_0824,602,image_0257,1186,image_1303,1508
1168,image_1135,image_0591,480,image_1133,593,image_1164,594
1169,image_0943,image_0898,1646,image_0797,2740,image_0867,3062
1170,image_0541,image_0956,1804,image_0616,1825,image_0145,2075
1171,image_0032,image_0591,1652,image_1164,1886,image_0247,2206
1172,image_0795,image_1031,1402,image_0363,1424,image_0101,1436
1173,image_0841,image_0802,0,image_0510,1385,image_0557,1437
1174,image_0659,image_1343,3011,image_1269,3119,image_0085,3152
1175,image_0870,image_0239,1650,image_0186,1669,image_0692,1671
1176,image_0029,image_0056,530,image_0797,1877,image_0948,1971
1177,image_0060,image_1129,504,image_1006,655,image_1151,1129
1178,image_0179,image_0875,1616,image_0591,1803,image_0234,1907
1179,image_0496,image_0222,1487,image_0181,1515,image_0161,1543
1180,image_0226,image_0200,1397,image_1166,1607,image_0566,1642
1181,image_1044,image_0562,654,image_0566,688,image_1164,804
1182,image_0201,image_0591,1225,image_0291,1393,image_0875,1616
1183,image_1068,image_1121,881,image_1198,1012,image_0497,1038
1184,image_0350,image_0136,2639,image_1347,2709,image_0331,2848
1185,image_0438,image_0539,3687,image_0510,3733,image_0867,4715
1186,image_0753,image_0867,1450,image_0557,1493,image_0801,1703
1187,image_1283,image_1198,1469,image_0967,1518,image_0200,1657
1188,image_0961,image_0885,2141,image_0078,2544,image_0900,2553
1189,image_1147,image_1303,1323,image_0257,1390,image_0557,1390
1190,image_0174,image_0562,455,image_1198,680,image_0999,949
1191,image_0423,image_0136,2328,image_0797,3103,image_1239,3167
1192,image_0715,image_0692,1328,image_0207,1440,image_1181,1646
1193,image_0016,image_0566,1245,image_0030,1250,image_0591,1366
1194,image_0227,image_1105,2523,image_0228,2654,image_0122,2719
1195,image_0051,image_0028,0,image_0316,733,image_0612,777
1196,image_0080,image_0072,717,image_0060,905,image_1098,936
1197,image_0819,image_0873,84,image_1236,612,image_0875,645
1198,image_0927,image_0050,1885,image_0581,2026,image_0596,2034
1199,image_1162,image_1122,454,image_0566,1101,image_1154,2048
1200,image_0041,image_0115,1438,image_0163,1845,image_0635,1903
1201,image_0425,image_0433,1087,image_0470,1088,image_0257,1716
1202,image_1340,image_0637,1725,image_0144,2223,image_1249,2252
1203,image_0291,image_0591,703,image_1151,819,image_1170,823
1204,image_0252,image_0817,1487,image_0822,1530,image_0457,1547
1205,image_0400,image_0104,1108,image_0382,1144,image_0122,1272
1206,image_1349,image_0101,1023,image_0316,1157,image_0875,1211
1207,image_1077,image_0692,1343,image_0116,1397,image_0537,1490
1208,image_0660,image_0257,3906,image_0791,6548,image_0797,6741
1209,image_0693,image_0671,409,image_0720,813,image_0612,886
1210,image_0842,image_0814,163,image_0851,952,image_0591,1597
1211,image_0141,image_0591,363,image_1166,385,image_1006,472
1212,image_0658,image_0239,2201,image_1336,2600,image_0537,2622
1213,image_0843,image_0826,357,image_0207,672,image_0818,822
1214,image_0182,image_0257,1857,image_1162,4421,image_1336,4770
1215,image_1352,image_0614,1349,image_1193,1649,image_1121,1762
1216,image_0493,image_0526,1082,image_0199,1557,image_0591,1656
1217,image_0979,image_0005,1366,image_0987,1498,image_1003,1851
1218,image_0777,image_0756,0,image_1153,1501,image_0101,1568
1219,image_1215,image_1201,412,image_1277,544,image_0291,572
1220,image_0224,image_0081,1120,image_1339,1371,image_0234,1377
1221,image_0070,image_1354,845,image_0875,1027,image_0171,1086
1222,image_0093,image_0581,1201,image_0136,1456,image_1270,1607
1223,image_1185,image_1174,1278,image_0257,2031,image_0592,2146
1224,image_1278,image_0237,1027,image_0186,1342,image_0187,1502
1225,image_0582,image_0614,1230,image_1354,1399,image_1193,1502
1226,image_0046,image_0033,0,image_1184,1018,image_1126,1419
1227,image_1186,image_1147,722,image_1196,803,image_1198,1205
1228,image_0713,image_0791,912,image_0248,953,image_0247,1112
1229,image_1229,image_0257,1234,image_0247,1273,image_0955,1731
1230,image_0290,image_0592,1163,image_1174,1288,image_1148,1296
1231,image_0096,image_0566,658,image_1166,924,image_0291,999
1232,image_0380,image_0352,2085,image_0199,2566,image_0216,2597
1233,image_0543,image_0136,1424,image_0199,1582,image_0200,1700
1234,image_0399,image_0390,5568,image_0698,6612,image_0681,6694
1235,image_1228,image_1271,850,image_1218,930,image_1259,962
1236,image_0669,image_0689,249,image_0867,1845,image_0291,2406
1237,image_0104,image_0948,366,image_0316,404,image_0874,441
1238,image_1031,image_1006,255,image_0948,707,image_0894,871
1239,image_0868,image_0841,747,image_0802,748,image_0867,817
1240,image_1118,image_0955,1276,image_0948,1615,image_0591,1658
1241,image_0866,image_0838,0,image_0873,682,image_0804,751
1242,image_0414,image_0464,0,image_0477,3596,image_0257,4412
1243,image_0028,image_0051,0,image_0316,733,image_0612,777
1244,image_0453,image_0439,0,image_0257,4957,image_0162,6319
1245,image_1211,image_0557,1458,image_1303,1538,image_0867,2097
1246,image_1328,image_0237,2430,image_1029,2472,image_0228,2483
1247,image_0891,image_0905,1318,image_0591,1812,image_0948,1838
1248,image_0340,image_0307,1257,image_0095,1548,image_0174,1689
1249,image_1024,image_0614,1003,image_1193,1713,image_1014,1859
1250,image_1055,image_1115,1172,image_1270,1211,image_1196,1319
1251,image_0770,image_0739,2124,image_0727,2174,image_0910,2294
1252,image_0595,image_0845,1153,image_0591,1189,image_0822,1487
1253,image_0244,image_0242,992,image_0243,1143,image_0254,3873
1254,image_0364,image_0101,680,image_0122,691,image_0084,812
1255,image_1104,image_1162,2332,image_0257,2415,image_0315,2556
1256,image_0775,image_0557,2016,image_0257,3485,image_0845,4762
1257,image_0312,image_0313,449,image_0311,1211,image_0162,2468
1258,image_0407,image_0111,2254,image_1325,2284,image_0820,2301
1259,image_0806,image_0875,954,image_1236,1001,image_0817,1125
1260,image_1203,image_0136,2013,image_0093,2031,image_1248,2149
1261,image_0087,image_1163,1744,image_0844,1986,image_0113,2141
1262,image_0471,image_0436,0,image_0257,1208,image_1163,1452
1263,image_1302,image_0859,2403,image_0867,2444,image_0816,3118
1264,image_0043,image_0089,1094,image_0101,1095,image_0104,1099
1265,image_1353,image_0200,643,image_0101,695,image_0081,778
1266,image_0064,image_0186,2536,image_1014,2661,image_1041,2837
1267,image_0616,image_0363,725,image_0457,738,image_0858,887
1268,image_1305,image_0290,3752,image_0237,4175,image_0206,4182
1269,image_0721,image_0162,1982,image_0022,2078,image_0566,2087
1270,image_0963,image_0901,571,image_1166,612,image_1183,770
1271,image_0421,image_0447,0,image_1058,1475,image_0557,1851
1272,image_1154,image_1173,0,image_0247,898,image_1303,966
1273,image_0408,image_1162,2364,image_0257,2394,image_0193,2446
1274,image_0233,image_1121,1099,image_1154,1514,image_1173,1529
1275,image_0267,image_0271,1195,image_0964,1810,image_1184,1843
1276,image_0061,image_0614,2612,image_0030,2668,image_0943,2683
1277,image_1019,image_1163,1094,image_1014,1363,image_0739,1531
1278,image_0097,image_1170,144,image_1151,144,image_0111,259
1279,image_0937,image_0910,0,image_1006,294,image_0948,370
1280,image_1218,image_1230,1431,image_0239,1622,image_1267,1686
1281,image_0369,image_0365,2565,image_0557,2933,image_0805,2985
1282,image_1106,image_0185,1941,image_1080,2100,image_0537,2138
1283,image_0574,image_0602,1964,image_0948,2154,image_0442,2162
1284,image_0829,image_1303,1101,image_0557,1453,image_0257,1531
1285,image_0720,image_0591,130,image_1006,148,image_1170,335
1286,image_0329,image_0581,1944,image_1188,2319,image_0257,2328
1287,image_0922,image_0162,1222,image_1303,1260,image_0457,1465
1288,image_0539,image_0797,2882,image_1140,2979,image_1180,3806
